Buyer,Gig,Elapsed Time,Total,Stars,Status
stirlus,create a pdf generator from a form,4,70,5,Completed
stirlus,create a pdf generator from a form,5,50,,Completed
stirlus,create a pdf generator from a form,7,60,5,Completed
stirlus,create a pdf generator from a form,7,110,,Completed
claudioo20,develop any cpp project,5,25,5,Completed
claudioo20,develop any c project,4,25,5,Completed
juanjoseaguilar,develop any c project,6,15,,Completed
lienrod,develop any c project,1,35,5,Completed
daviiimar,develop any cpp project,15,20,,Completed
ujashare,create a pdf generator from a form,3,40,,Completed
joelnetson,develop desktop windows forms app,5,15,,Completed
alejandrog2022,create your web page fast,6,40,,Completed
u_bd93019b1e68,create your web page fast,3,5,5,Completed
u_bd93019b1e68,create your web page fast,3,5,5,Completed
u_bd93019b1e68,create your web page fast,3,5,5,Completed
u_bd93019b1e68,create your web page fast,3,5,,Completed
claudioo20,develop any c project,2,20,5,Completed
benjaminrodg987,create a pdf generator from a form,5,30,,Completed
itzcastro,develop any cpp project,3,18,5,Completed
noedubois,develop any c project,12,40,5,Completed
jymn39,develop any console or graphic java application,3,18,5,Completed
justinshu,develop any console or graphic java application,3,20,,Completed
coolsingh486,develop any console or graphic java application,8,10,,Completed
jamiesonsand,develop any c project,14,80,,Completed
davidespinosale,develop any console or graphic java application,5,10,,Completed
davidespinosale,develop any console or graphic java application,1,10,,Completed
davidespinosale,develop any console or graphic java application,7,10,,Completed
prodsantander,develop any console or graphic java application,1,15,,Completed
davidespinosale,develop any console or graphic java application,7,10,,Completed
royruiz740,develop desktop windows forms app,22,10,,Completed
idsanchez0,build mobile apps with xamarin forms,5,12,,Cancelled
chamithanara,develop desktop windows forms,5,15,,Cancelled
juanjoseaguilar,develop any c project,2,5,,Cancelled
